id,language_name,extension,program
493,Qu,qu,"'Hello World'
test
"
494,Quakec,qc,"bprint(""Hello World\n"");"
495,Quartzcomposer,qtz,"<?xml version=""1.0"" encoding=""UTF-8""?>
<!DOCTYPE plist PUBLIC ""-//Apple//DTD PLIST 1.0//EN"" ""http://www.apple.com/DTDs/PropertyList-1.0.dtd"">
<plist version=""1.0"">
<dict>
	<key>editorViewerWindow</key>
	<string>202 156 512 430 0 0 1280 777 </string>
	<key>frameworkVersion</key>
	<string>334</string>
	<key>rootPatch</key>
	<dict>
		<key>class</key>
		<string>QCPatch</string>
		<key>state</key>
		<dict>
			<key>connections</key>
			<dict>
				<key>connection_1</key>
				<dict>
					<key>destinationNode</key>
					<string>Billboard_1</string>
					<key>destinationPort</key>
					<string>inputImage</string>
					<key>sourceNode</key>
					<string>TextImage_1</string>
					<key>sourcePort</key>
					<string>outputImage</string>
				</dict>
			</dict>
			<key>nodes</key>
			<array>
				<dict>
					<key>class</key>
					<string>QCTextImage</string>
					<key>key</key>
					<string>TextImage_1</string>
					<key>state</key>
					<dict>
						<key>customInputPortStates</key>
						<dict>
							<key>inputGlyphSize</key>
							<dict>
								<key>value</key>
								<real>1.0</real>
							</dict>
							<key>inputHeight</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputKerning</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputLeading</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputWidth</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
						</dict>
						<key>fontName</key>
						<string>LucidaGrande</string>
						<key>fontSize</key>
						<real>1.0</real>
						<key>horizontalAlignment</key>
						<string>Centered</string>
						<key>ivarInputPortStates</key>
						<dict>
							<key>inputFontName</key>
							<dict>
								<key>value</key>
								<string>LucidaGrande</string>
							</dict>
							<key>inputGlyphSize</key>
							<dict>
								<key>value</key>
								<real>1.0</real>
							</dict>
							<key>inputHeight</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputKerning</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputLeading</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputString</key>
							<dict>
								<key>value</key>
								<string>Hello World</string>
							</dict>
							<key>inputWidth</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
						</dict>
						<key>manualLayout</key>
						<false/>
						<key>userInfo</key>
						<data>
						BAtzdHJlYW10eXBlZIHoA4QBQISE
						hBNOU011dGFibGVEaWN0aW9uYXJ5
						AISEDE5TRGljdGlvbmFyeQCEhAhO
						U09iamVjdACFhAFpAZKEhIQITlNT
						dHJpbmcBlYQBKwhwb3NpdGlvboaS
						hISEB05TVmFsdWUAlYQBKoSEDHtD
						R1BvaW50PWRkfZuBHwKBuQCGhg==
						</data>
						<key>version</key>
						<integer>2</integer>
						<key>verticalAlignment</key>
						<string>Centered</string>
					</dict>
				</dict>
				<dict>
					<key>class</key>
					<string>QCBillboard</string>
					<key>key</key>
					<string>Billboard_1</string>
					<key>state</key>
					<dict>
						<key>CIRendering</key>
						<false/>
						<key>customInputPortStates</key>
						<dict>
							<key>inputScale</key>
							<dict>
								<key>value</key>
								<real>1.0</real>
							</dict>
						</dict>
						<key>ivarInputPortStates</key>
						<dict>
							<key>inputBlending</key>
							<dict>
								<key>value</key>
								<integer>1</integer>
							</dict>
							<key>inputColor</key>
							<dict>
								<key>value</key>
								<dict>
									<key>alpha</key>
									<real>1.0</real>
									<key>blue</key>
									<real>0.0</real>
									<key>green</key>
									<real>0.0</real>
									<key>red</key>
									<real>0.0</real>
								</dict>
							</dict>
							<key>inputPixelAligned</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputRotation</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputScale</key>
							<dict>
								<key>value</key>
								<real>1.0</real>
							</dict>
							<key>inputX</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
							<key>inputY</key>
							<dict>
								<key>value</key>
								<real>0.0</real>
							</dict>
						</dict>
						<key>optimizedRendering</key>
						<false/>
						<key>pixelAligned</key>
						<real>0.0</real>
						<key>sizeMode</key>
						<string>autoHeight</string>
						<key>systemInputPortStates</key>
						<dict>
							<key>_enable</key>
							<dict>
								<key>value</key>
								<true/>
							</dict>
						</dict>
						<key>userInfo</key>
						<data>
						BAtzdHJlYW10eXBlZIHoA4QBQISE
						hBNOU011dGFibGVEaWN0aW9uYXJ5
						AISEDE5TRGljdGlvbmFyeQCEhAhO
						U09iamVjdACFhAFpAZKEhIQITlNT
						dHJpbmcBlYQBKwhwb3NpdGlvboaS
						hISEB05TVmFsdWUAlYQBKoSEDHtD
						R1BvaW50PWRkfZuB+gKBuQCGhg==
						</data>
						<key>version</key>
						<integer>4</integer>
					</dict>
				</dict>
			</array>
			<key>userInfo</key>
			<data>
			BAtzdHJlYW10eXBlZIHoA4QBQISEhBNOU011dGFibGVEaWN0aW9u
			YXJ5AISEDE5TRGljdGlvbmFyeQCEhAhOU09iamVjdACFhAFpA5KE
			hIQITlNTdHJpbmcBlYQBKwp6b29tRmFjdG9yhpKEhIQITlNOdW1i
			ZXIAhIQHTlNWYWx1ZQCVhAEqhIQBZpwBhpKEl5gJc2Nyb2xsaW5n
			hpKEmpuEhAx7Q0dQb2ludD1kZH2dgwAAAAAATIBAgUYBhpKEl5gI
			cG9zaXRpb26GkoSam56dAAWGhg==
			</data>
		</dict>
	</dict>
</dict>
</plist>
"
496,Qugord,qugord,"~group hello from %2 to %14 also affect hello into ""Hello World"" also each hello into 0 task give 0 to 1 also at 1 join 1 and %1
~publish also split hello
"
497,Quorum,quorum,"output ""Hello World""
"
498,Qwerty,qwerty,"begin
	?hello = ""Hello World""
	if 1 == 1 then
		output ?hello
	fi
end
"
499,R,R,"cat(""Hello World\n"")
"
500,Racket,rkt,"#lang racket
""Hello World""
"
501,Radixal,radixal,"1 3 2 44 15 27 15 4 2 34 15 34 15 4 4 121 15 4 2 8 15
4 4 45 15 121 15 3 4 56 15 1102 15 46 15 3 2 15 15 3 4 5 15
"
502,Ratfor,ratfor,"print *, 'Hello World'
end"
503,React,js,"function Hello() {
  return <h1>Hello World</h1>;
}

React.render(<Hello />, document.body);
"
504,React360,js,"import React from ""react"";
import { AppRegistry, Text, View, StyleSheet } from ""react-360"";

export default class hello_world extends React.Component {
    render() {
        return (
            <View style={styles.panel}>
                <View style={styles.greetingBox}>
                    <Text style={styles.greeting}>Hello World</Text>
                </View>
            </View>
        );
    }
}

const styles = StyleSheet.create({
    panel: {
        // Fill the entire surface
        width: 1000,
        height: 600,
        backgroundColor: ""rgba(255, 255, 255, 0.4)"",
        justifyContent: ""center"",
        alignItems: ""center"",
    },
    greetingBox: {
        padding: 20,
        backgroundColor: ""#000000"",
        borderColor: ""#639dda"",
        borderWidth: 2,
    },
    greeting: {
        fontSize: 30,
    },
});

AppRegistry.registerComponent(""hello_world"", () => hello_world);
"
505,Readlink,readlink,"Hello World
"
506,Realbasic,realbasic,"Function Run(args() as String) As Integer
  Print ""Hello World""
  Quit
End Function
"
507,Reason,re,"print_string ""Hello World""
"
508,Rebol,r,"print ""Hello World""
"
509,Rebol,reb,"print ""Hello World""
"
510,Recurse,recurse," Main function
$###########v######################################
>..9n_3n{5Av# 'H' = 9*8       # 'w' = (2*8-1)*8-1 #
#vA3_[_A7_A<# 'e' = 'H'+3*8+5 # 'o' = 'W'-8       #
#>_[5n{4A_[v# 'l' = 'e'+7     # 'r' = 'o'+3       #
#vS1{n2[_n4<# 'l'             # 'l' = 'r'-6       #
#>n{1S_8S_3v# 'o' = 'l'+3     # 'd' = 'l'-8       #
#v[_S8_S6_A<# ',' = 5*8+ 4    # '!' = 4*8+1       #
#>4n{1A_[..!# ' ' = 4*8       #                   <
$###########^######################################

 Multiply by 8 (Bidirectional)
n####v#####
>{8}m#m}8{<
n####^#####

 Push on left stack and print (Bidirectional)
_##v###
>{!#!{<
_##^###

 Add (Bidirectional)
A##v###
>}a#a}<
A##^###

 Subtract (Bidirectional)
S##v###
>}s#s}<
S##^###
"
511,Red,red,"Red [Needs: 'View]
view [text ""Hello World""] "
512,Redis,,set Hello World
513,Refal,ref,"$ENTRY Go { = <Hello>;}
Hello {
   = <Prout 'Hello World'>;
}"
514,Restructuredtext,rst,"============
Hello World
============

"
515,Retro,retro,"""Hello World"" puts
"
516,Rexx,rexx,"<<hello.rexx>>=
Say ""Hello World""
"
517,Richtea,tea,"Print(""Hello World"");"
518,Ride,ride,"throw(""Hello World"")
"
519,Ring,ring,"see ""Hello World"" "
520,Rivescript,rive,"+ *
- Hello World
"
521,Rockstar,rock,"Scream ""Hello World""
"
522,Roco,roco,"cout 72
cout 101
cout 108
cout 108
cout 111
cout 44
cout 32
cout 87
cout 111
cout 114
cout 108
cout 100
cout 33
ac
"
523,Roy,roy,"console.log ""Hello World""
"
524,Rpg Iv,rpgle,"/free
    dsply 'Hello World';
    return;
/end-free
"
525,Rpg,rpgle,"**free
dsply 'Hello World';
return;
"
526,Rtl2,rtl2,"TITLE Hello World;

LET NL=10;

EXT PROC(REF ARRAY BYTE) TWRT;

ENT PROC INT RRJOB();

    TWRT(""Hello World#NL#"");
    RETURN(1);

ENDPROC;
"
527,Ruby,rb,"#!/usr/bin/env ruby
puts ""Hello World""
"
528,Ruota,ruo,"printl(""Hello World"")"
529,Rust,rs,"fn main() {
    println!(""Hello World"");
}
"
530,S Algol,,"write ""Hello World""
?
"
531,Sacred,sacred,")( )( (( )( (( (( () ( () ( (( () )) )( )( )( )) )( )) )( )) )( (( (( (( ) )) ) (( (( )( )( ((( (( () () () () () () ((( (( (( )( ((( ((( (( (( ((( (( () ((( )) )) ((( )) )) ((( (( (( (( ((( () () () ((( )) )) ((( )) )) )( ((( (( (( (( () (((
"
532,Sal,s,"proc main()
    loop
        WriteLine(""Hello World"")
    endloop
end
"
533,Sas,sas,"%macro putit( string= ); 
     %put &string; 
     %mend; 

%putit(string=Hello World)
"
534,Sass,sass,"body::before
	content: ""Hello World""
"
535,Sather,sa,"class MAIN is
   main is 
      loop 
         #OUT + ""Hello World\n"" 
      end 
   end
end
"
536,Scala,scala,"object HelloWorld extends App {
  println(""Hello World"")
}
"
537,Scheme,scm,"(display ""Hello World"") (newline)
"
538,Schwift,y,"show me what you got ""Hello World""
"
539,Scilab,scilab,"disp(""Hello World"")
"
540,Scratch,sb,ScratchV02
541,Scratch,sb3,"PK
"
542,Scratch1,sb,ScratchV02
543,Scratch2,sb2,"PK
"
544,Scss,scss,"body::before {
    content: ""Hello World"";
}
"
545,Sed,sed,"#!/usr/bin/sed -f sed.sed
c\
Hello World
q
"
546,Seed,,"20 77698190481213510983405846204529755428212736563278528088055816123655499433757607718113585773285686740433752335768949721107461077652705328567448384490378909463204984642622585570301449419608763821501335954761638946551568252142160714228369356054944595121742743720935369219143086698092657062614382519069928478344861416117079283276656675368390764675728501797178208908097054412833019383889935034413095990596139618411133857423995278221670378808372393943846302426674985203826030563290800228881174929701934609803807325868775242909948272754141956168876233403760199007405891058308908050926690654387065882097924294620229833663324754801060691573338185912369627367088050915813931912943122729210762147280440619571047157836177316082899933374851699282897590433145623725705072835054748369992455883804733164985993447304652512229557984322495162682327137071900307763332392727562988633724175094951314863886096190608268953115914497741446723188169519334729165647294618083444761551231012944903572063441813639201051793052623561949314826491616145873848990439549320951496534538450810083853945092224500179417650727351532486362656533602860500906935826231374501097567347929533018944533000919137863885267937690665655625569011036163950983389810112758403211861147501289650757555111271813737813381172074709337306647481507917983021055643749698971365256395367215437223669891280521155247529741719633106765965869860677198632388808752014013939448563313855130972968670015202479226496876067874099463222366536167126653600056389712632892652810365218798697007191747287017174284819764736012653205048166550645507761123345279502597627995423826537299795220169894222867163817508592362092945387317777666016102146798532337718546431888424995701016828542559577710937459975677354300708252448630110787487122698124054544454425586794841157136743408274159313823745226919626156949004386804874236325506583268311452185182143521552429596087556634158778951670223004413763782647825362665491934988477225698133609360969370513836064317152213804169538880632390908441210809806024082600637872813704781431414342781727628446451808751293046212690472851527294326981763969926510021099532791692362104324026231160941956411410511639925420026544463125250979130259151326444714248961523031316570018708849878676230362246913063109584502143502908906243190007062857721367402065760878808920961082444422470813023453274563914735545463757909757689866565064353853099958949763412521666109346825939993377745919874506439752272141853783745051726268592621080457687000431023453539135927140364910898906534604541224314820195082362228787083990333757268808864746297304451768935814651205074884015268982492445996542040655715230139673520569765431617018824427859214902954216246257690105154030408059145566852643855789351907818461502260430297487602982850090037405732117988720732457199005151517240766953718440639691354185802798689950155164379549518496065038927905828230066053603755553745353618846804435103593395141938947781375633374976924393453162350331593801284839409264892975739791751842620029351535320807733966984270102067017902086335370470815153908942490581427972998999752666174807935897314584088695849094389002316139005810918748032068307783088481430339303809949409414892479892121893571274086727250767713365523021125610242269894861374297866741571608166536165735922984579027986499758294460652554897534526492251140681138244025665400003029337114012766773010641359450599171473565675885966777145500248501370644599274741842644014722083732709145488157998306684831419559774212264003518406013032514468522158218837161285401631773099549510145156007147884565387852623860047153609138110997222297132678660783411624002400927435687937355446057878202312894093195453248164648271580944753933355967626542678764854079218206499479071658357103085513937246462858404881973219571392564909528645166637501279457604649906515968389831094896970731573714836150178126997674563415266672131632765794599548356902607125568792417432226125654028873443580337866760487651905138461301986816386866811155111486155341154153322710638921116465132825486519667178335471102213200521032618562169530188826434060179505699797068436325168526618824444305122475837890944742004331675952611756641739756206337285946
"
547,Seed7,s7,"$ include ""seed7_05.s7i"";

const proc: main is func
  begin
    writeln(""Hello World"");
  end func;
"
548,Self,self,'Hello World' printLine
549,Semicolon,,";;;;⁏;;⁏;;;
⁏ ;;;;;;⁏⁏;;⁏;⁏
⁏ ;;;;;;⁏⁏;⁏⁏;;
;;⁏⁏ ;;⁏ ;;;;;;⁏⁏;⁏⁏⁏⁏
⁏ ;;;;;;⁏;;;;;
⁏ ;;;;;;⁏⁏⁏;⁏⁏⁏
⁏ ;;;;;;⁏⁏;⁏⁏⁏⁏
;;⁏⁏ ;;;;;;⁏⁏
⁏;;⁏ ;;;;;;⁏⁏;⁏⁏;;
⁏ ;;;;;;⁏⁏;;⁏;;
⁏ ;;;;;;⁏;;;;⁏
⁏ ;;;;;;;⁏;⁏;
⁏ ;;  ;"
550,Sendstuff,ss,">(Add      72 >(Output) 
>(Add      29 >(Output)
>(Add      7  >(Output) 
              >(Output)
>(Add      3  >(Output)
>(Subtract 67 >(Output)
>(Subtract 12 >(Output) 
>(Add      55 >(Output)
>(Add      24 >(Output)
>(Add      3  >(Output)
>(Subtract 6  >(Output)
>(Subtract 8  >(Output)
>(Subtract 67 >(Output)
"
551,Setanta,set,"scríobh(""Hello World"")
"
552,Shakespeare,spl,"The Infamous Hello World Program.

Romeo, a young man with a remarkable patience.
Juliet, a likewise young woman of remarkable grace.
Ophelia, a remarkable woman much in dispute with Hamlet.
Hamlet, the flatterer of Andersen Insulting A/S.


                    Act I: Hamlet's insults and flattery.

                    Scene I: The insulting of Romeo.

[Enter Hamlet and Romeo]

Hamlet:
 You lying stupid fatherless big smelly half-witted coward!
 You are as stupid as the difference between a handsome rich brave
 hero and thyself! Speak your mind!

 You are as brave as the sum of your fat little stuffed misused dusty
 old rotten codpiece and a beautiful fair warm peaceful sunny summer's
 day. You are as healthy as the difference between the sum of the
 sweetest reddest rose and my father and yourself! Speak your mind!

 You are as cowardly as the sum of yourself and the difference
 between a big mighty proud kingdom and a horse. Speak your mind.

 Speak your mind!

[Exit Romeo]

                    Scene II: The praising of Juliet.

[Enter Juliet]

Hamlet:
 Thou art as sweet as the sum of the sum of Romeo and his horse and his
 black cat! Speak thy mind!

[Exit Juliet]

                    Scene III: The praising of Ophelia.

[Enter Ophelia]

Hamlet:
 Thou art as lovely as the product of a large rural town and my amazing
 bottomless embroidered purse. Speak thy mind!

 Thou art as loving as the product of the bluest clearest sweetest sky
 and the sum of a squirrel and a white horse. Thou art as beautiful as
 the difference between Juliet and thyself. Speak thy mind!

[Exeunt Ophelia and Hamlet]


                    Act II: Behind Hamlet's back.

                    Scene I: Romeo and Juliet's conversation.

[Enter Romeo and Juliet]

Romeo:
 Speak your mind. You are as worried as the sum of yourself and the
 difference between my small smooth hamster and my nose. Speak your
 mind!

Juliet:
 Speak YOUR mind! You are as bad as Hamlet! You are as small as the
 difference between the square of the difference between my little pony
 and your big hairy hound and the cube of your sorry little
 codpiece. Speak your mind!

[Exit Romeo]

                    Scene II: Juliet and Ophelia's conversation.

[Enter Ophelia]

Juliet:
 Thou art as good as the quotient between Romeo and the sum of a small
 furry animal and a leech. Speak your mind!

Ophelia:
 Thou art as disgusting as the quotient between Romeo and twice the
 difference between a mistletoe and an oozing infected blister! Speak
 your mind!

[Exeunt]
"
553,Shell,sh,"#!/bin/sh
echo ""Hello World""
"
554,Shen,shen,"(pr ""Hello World"")
"
555,Sidekiq,sidekiq,"def self.❨╯°□°❩╯︵┻━┻
    puts ""Hello World""
end
"
556,Sil,SIL,"print Hello World
"
557,Simpl+,usp,"// Hello World in Crestron's SIMPL+
Function Main
{
    Print(""Hello World\n"");
}
"
558,Simula,sim,"Begin
   OutText (""Hello World"");
   Outimage;
End;"
559,Skip,sk,"fun main(): void {
  print_string(""Hello World"")
}"
560,Skript,sk,"on load:
	broadcast ""Hello World""
"
561,Slashes,slashes,"Hello World
"
562,Slim,slim,"doctype html
head
  title Hello World
body
  h1 Hello World"
563,Smali,smali,".class public LHelloWorld;

.super Ljava/lang/Object;

.method public static main([Ljava/lang/String;)V
    .registers 2

    sget-object v0, Ljava/lang/System;->out:Ljava/io/PrintStream;

    const-string	v1, ""Hello World""

    invoke-virtual {v0, v1}, Ljava/io/PrintStream;->println(Ljava/lang/String;)V

    return-void
.end method
"
564,Smalltalk Gnu,st,'Hello World' printNl !
565,Smalltalk,sm,"Transcript show: 'Hello World'.
"
566,Smil,smil,"<smil>
 <head>
  <layout>
   <root-layout width=""300"" height=""160"" background-color=""white""/>
   <region id=""text_region"" left=""115"" top=""60""/>
  </layout>
 </head>
 <body>
  <text src=""data:,Hello%20World!"" region=""text_region"">
   <param name=""fontFace"" value=""Arial""/>
  </text>
 </body>
</smil>"
567,Sml,sml,"val () = print ""Hello World\n""
"
568,Snowman,sm,"~""Hello World""sPvG
"
569,Solidity,sol,"pragma solidity ^0.6.4;

contract HelloWorld {
    function render () public pure returns (string memory) {
        return 'Hello World';
    }
}
"
570,Soupscript,script,"PrintLn Hello World

Break
"
571,Sparql,sparql,"SELECT ?h WHERE { 
  VALUES ?h { ""Hello World"" } 
}
"
572,Spoon,spoon,"11111111110010001011111110101111111111010111010101101101101100000110101100101001010010101111111001010001010111001010010110010100110111111111111111110010100100010101110010100000000000000000000010100000000000000000000000000010100101001010010001010
"
573,Spss,spss,"BEGIN PROGRAM.
print ""Hello World""
END PROGRAM."
574,Sql,sql,"SELECT 'Hello World';
"
575,Squirrel,nut,"print(""Hello World"");"
576,Standard Ml,sml,"fun hello() = print(""Hello World\n"");

hello()
"
577,Stanza,stanza,"println(""Hello World"")

"
578,Starlark,star,"print(""Hello World"")
"
579,Streem,strm,"[""Hello World""] | stdout
"
580,Stuck,stuck,"""Hello World""
"
581,Stuck 0Byte,stuck,"
"
582,Stylus,styl,"body::before
	content: ""Hello World"" "
583,Subleq,sq,"loop:       hello (-1)
            minusOne loop
            minusOne checkEnd+1
checkEnd:   Z hello (-1) 
            Z Z loop
				
. minusOne: -1
. hello: ""Hello World\n"" Z: 0
"
584,Supercollider,sc,"""Hello World"".postln;
"
585,Svelte,svelte,"<script>
  let message = 'Hello World';
</script>

<p>{ message }</p>"
586,Svg,svg,"<?xml version=""1.0"" encoding=""utf-8"" standalone=""no""?>
<svg width=""240"" height=""100"" viewBox=""0 0 240 100"" zoomAndPan=""disable""
     xmlns=""http://www.w3.org/2000/svg""  xmlns:xlink=""http://www.w3.org/1999/xlink"">
  <title>Hello World</title>
    <g>
      <text x=""10"" y=""50"">Hello World</text>
      <animate attributeName='opacity' values='0;1' dur='4s' fill='freeze' begin=""0s""/>
    </g>
</svg>
"
587,Swift,swift,"print(""Hello World"")
"
588,Systemtap,stp,"probe oneshot { println(""Hello World"") }"
589,上海话,shanghai,"嘎讪胡：“Hello World”。
"
590,Plain Text,txt,"Hello World
"
591,Raffalang,bro,"TODO MUNDO FALA DE MIM ""Hello World"" BRO;
"
592,Tao Presentations,ddd,"// ****************************************************************************
//  hello_world.ddd                                                 Tao project
// ****************************************************************************
//
// File Description:
//
// Original hello world with Tao Presentations.
// http://www.taodyne.com/shop/en/blog/3-getting-started-with-tao-presentations
//
//
//
// ****************************************************************************
//  (C) 1992-2010 Christophe de Dinechin <christophe@taodyne.com>
//  (C) 2010 Jérôme Forissier <jerome@taodyne.com>
//  (C) 2010 Catherine Burvelle <cathy@taodyne.com>
//  (C) 2010 Taodyne SAS
// ****************************************************************************

color ""white""
milkyway 10000
rotatez -23
earth 400
hello_world 440


milkyway R ->
// ----------------------------------------------------------------------------
//    Draw the Milky Way
// ----------------------------------------------------------------------------
    locally
        texture_wrap true, true
        texture_transform {scale 5, 5, 5}
        texture ""milkyway.jpg""
        rotatey 0.02 * page_time + 100
        scale 1, -1, 1
        sphere R


earth R ->
// ----------------------------------------------------------------------------
//    Draw Earth
// ----------------------------------------------------------------------------
    locally
        texture ""earth.bmp""
        texture_wrap true, true
        rotatey 5 * page_time + 250
        sphere 0, 0, 0, R


hello_world R ->
// ----------------------------------------------------------------------------
//    Draw ""hello world"" text
// ----------------------------------------------------------------------------
    locally
        frame_texture 1900, 600,
            color 1, 1, 1, 1
            reset_transform
            // If font Arial Unicode installed, it will be used.
            // Otherwise, unifont will be used (unifont is packaged
            // with Tao presentations).
            font ""Arial Unicode MS"", ""unifont"", 72
            move_to -800, -9, 0
            text ""Hello World or Καλημέρα κόσμε; or こんにちは 世界""
        rotatey -11 * page_time + 180
        color 20% , 20% , 20% , 70%
        sphere 0, 0, 0, R - 30
        color 100% , 90% , 20% , 90%
        sphere 0, 0, 0, R
"
593,Tapebagel,tb,"%% %++ %++ %++ %++ %++ %++ %++ %++ @* ## %++ %++ %++ %++ %++ @* ## %++
%++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ @* @* ## %++ %++ %++ %++
%++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ @* ## @* %++ %++ %++ %++
%++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++
%++ %++ @* ## %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++
%++ %++ @* ## %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++ %++
%++ %++ %++ %++ %++ @* ##  %++ %++ %++ %++ %++ %++ %++ %++ %++ %++
%++ %++ @* ## %++ %++ %++ %++ @* ##
"
594,Tcl,tcl,"puts ""Hello World"""
595,Tcsh,tcsh,"#!/bin/tcsh
echo ""Hello World""
"
596,Telephone,,"#How to Spell HELLO WORLD on a standard telephone keypad
43556 96753
"
597,Terra,t,"print(""Hello World"")
"
598,Tex,tex,"Hello World
\bye
"
599,Thp,hrp,"; Hello World in ""The Harper Programmer""
; Compiled and tested with version 2.0 Sybex Edition

Variable        Msg,13,""Hello World""

Write           Msg
"
600,Thue,th,"a::=~Hello World
::=
a

"
601,Ti Hexadecimal,hex,"AsmPrgm
EF4045
111A1A
ED53D786
21A89D
EF6145
C9
48656C6C6F20776F726C64202100 "
602,Tibasic,ti,"PROGRAM:HELLOW
:ClrHome
:Disp ""Hello World"""
603,Tk,tk,"label .l -text ""Hello World""
pack .l"
604,Tri,tri,"inc inc psh psh psh mul sto nxt sto psh mul lst psh add 
sto prn nxt zro clr inc inc inc psh psh add inc nxt pop 
inc psh lst psh mul one psh add sto nxt sto lst lst psh 
nxt nxt nxt add sto prn zro inc inc inc psh inc psh add 
sto prn prn inc inc inc prn clr lst lst lst psh nxt psh
sub nxt sto inc prn lst one clr inc psh psh inc psh mul 
nxt psh sub neg pop prn inc nxt psh nxt sto inc inc inc
inc inc inc inc inc prn lst prn nxt dec dec dec dec dec 
prn dec dec dec dec dec dec prn lst dec dec dec dec dec 
dec dec dec dec dec dec prn lst prn lin
"
605,Trollscript,troll,"Trooloolooloolooloolooloolooloolollooooolooloolooloolooloolooooolooloolooloolooloolooloolooloooooloolooloooooloooloolooloololllllooooloololoooooololooolooloolooloolooloololoolooolooloololooooooloololooooloololooloolooloolooloolooloolooloolooloolooloololooooolooolooloololooollollollollollolllooollollollollollollollollloooooololooooolooll.

"
606,Trumpscript,py,"say ""Hello World""!
America is great.
"
607,Tsql,sql,"DECLARE @message varchar(128)
SELECT  @message = 'Hello World'
PRINT   @message
"
608,Ttcn3,ttcn,"module HelloWorld
{
    control
    {
        log(""Hello World"");
    }
 }
"
609,Turing,oot,"put ""Hello World"""
610,Turing,t,"put ""Hello World""
"
611,Typescript,ts,"console.log(""Hello World"");
"
612,Ubercode,cls,"  Ubercode 1 class HelloWorld  

  public function Main()
  code
    call Msgbox(""Hello World"", ""My first program"", ""OK"")
  end function

  end class
"
613,Ubiquity,ubiquity,"function cmd_hello_world() {
  displayMessage(""Hello World"");
}
"
614,Umajin,u,"println 'Hello World'

"
615,Unicomal,lst,"0100 PRINT ""Hello World"""
616,Unlambda,unl,`r```````````.H.e.l.l.o. .w.o.r.l.di
617,V,,"iHello World
"
618,V,v,"println(""Hello World"")
"
619,Vala,vala,"static void main (string[] args)
{
	stdout.printf (""Hello World\n"");
}

"
620,Vbnet,vb,"Module HelloWorld
    Sub Main()
        System.Console.WriteLine(""Hello World"")
    End Sub
End Module"
621,Velato,ly,"on ""2.19.64""

\header{
  title = ""Hello World""
}

\language ""english""

\paper {
  top-margin = 1.5\in
  left-margin = 2.0\in
  right-margin = 2.0\in
}

\score {
  \transpose c c' {
    % H
    <c a>4
    g8(
    e8 f8
    gs8 d8
    g8) |

    % e
    a8
    <g e>4.
    <f cs>4
    c16( cs16
    g8 |

    % l
    a8)
    <g e>8
    <f cs>4
    <c a>4
    g4( |

    % l
    a16 g16
    e16 f8
    cs8.) <c a g>2 |

    % o
    a8( g8 e8)
    f8.
    cs16( cs8 cs8 g8 |

    % ,
    a8 g4
    e8 f8
    e e
    g8) |

    % space
    a8
    <g e>4.
    f8(
    ds d
    g8 |

    % W
    a8 g4
    e8 f8
    a8 gs8
    g8) |

    % o
    a8( g8
    e8 f8
    cs8 cs8) <cs g>4 |

    % r
    a8( g8
    e8 f8
    cs8 cs8 e8. g16 |

    % l
    c16 a16)
    <g e>8
    <f cs>4
    <c a>4
    g4( |

    % d
    a8 g4
    e16 f16
    cs8 c8 c8
    g8 |

    % !
    a16)
    <g e>4
    f16( ds16 ds16)
    <g c>2 |
  }
  \layout {
    indent = 0\cm
  }
  \midi {
    \tempo 4 = 120
  }
}
"
